Day,Price,Temperature,Precipitation,SnowDepth,SunshineHours,Month,DayOfWeek,Season,Price_lag_1,Price_lag_2,Price_lag_3,Price_lag_4,Price_lag_5,Price_lag_6,Price_lag_7,Price_MA7,Temp_MA7
2016-01-08,30.483333333333334,-7.32,2.649473684210526,0.09275862068965517,2.5833333333333335,1,4,1,49.98708333333334,28.694999999999997,21.18166666666667,19.062916666666666,16.958333333333332,15.615416666666667,16.61916666666667,25.99767857142857,-8.474945054945055
2016-01-09,24.78708333333333,-7.859999999999999,3.6010526315789475,0.122,2.7,1,5,1,30.483333333333334,49.98708333333334,28.694999999999997,21.18166666666667,19.062916666666666,16.958333333333332,15.615416666666667,27.307916666666667,-9.083736263736263
2016-01-10,21.508750000000003,-2.4707692307692306,5.684210526315789,0.16072727272727272,0.0,1,6,1,24.78708333333333,30.483333333333334,49.98708333333334,28.694999999999997,21.18166666666667,19.062916666666666,16.958333333333332,27.95797619047619,-8.526813186813188
2016-01-11,32.48291666666667,0.016923076923076937,3.6199999999999997,0.16758064516129034,0.0,1,0,1,21.508750000000003,24.78708333333333,30.483333333333334,49.98708333333334,28.694999999999997,21.18166666666667,19.062916666666666,29.875119047619048,-7.3549450549450555
2016-01-12,30.586250000000003,-2.253846153846154,0.9010526315789473,0.15901639344262297,6.187037037037038,1,1,1,32.48291666666667,21.508750000000003,24.78708333333333,30.483333333333334,49.98708333333334,28.694999999999997,21.18166666666667,31.218630952380952,-6.4265934065934065
2016-01-13,34.47166666666667,-7.030769230769231,0.3915789473684211,0.16762711864406782,22.824074074074073,1,2,1,30.586250000000003,32.48291666666667,21.508750000000003,24.78708333333333,30.483333333333334,49.98708333333334,28.694999999999997,32.043869047619054,-5.564395604395604
2016-01-14,55.86375,-13.412307692307692,0.018947368421052633,0.1705263157894737,176.4796296296296,1,3,1,34.47166666666667,30.586250000000003,32.48291666666667,21.508750000000003,24.78708333333333,30.483333333333334,49.98708333333334,32.88339285714286,-5.761538461538462
2016-01-15,58.240833333333335,-14.712307692307691,0.16842105263157894,0.16333333333333336,239.88518518518518,1,4,1,55.86375,34.47166666666667,30.586250000000003,32.48291666666667,21.508750000000003,24.78708333333333,30.483333333333334,36.84875,-6.817582417582417
2016-01-16,27.98,-12.70923076923077,0.10105263157894737,0.16345454545454546,189.82777777777775,1,5,1,58.240833333333335,55.86375,34.47166666666667,30.586250000000003,32.48291666666667,21.508750000000003,24.78708333333333,37.30488095238095,-7.51032967032967
2016-01-17,26.436666666666667,-11.732307692307693,0.016842105263157894,0.16452830188679246,353.4203703703704,1,6,1,27.98,58.240833333333335,55.86375,34.47166666666667,30.586250000000003,32.48291666666667,21.508750000000003,38.00886904761905,-8.833406593406593
