Datum,Lufttemperatur,Kvalitet
2014-01-01,1.4,Y
2014-01-02,2.6,Y
2014-01-03,3.9,Y
2014-01-04,4.4,Y
2014-01-05,2.5,Y
2014-01-06,2.7,Y
2014-01-07,6.3,Y
2014-01-08,6.0,Y
2014-01-09,3.3,Y
2014-01-10,0.7,Y
2014-01-11,3.1,Y
2014-01-12,-4.0,Y
2014-01-13,-8.3,Y
2014-01-14,-2.5,Y
2014-01-15,-2.1,Y
2014-01-16,-2.9,Y
2014-01-17,-4.1,Y
2014-01-18,-4.5,Y
2014-01-19,-4.2,Y
2014-01-20,-5.4,Y
2014-01-21,-6.8,Y
2014-01-22,-5.6,Y
2014-01-23,-5.9,Y
2014-01-24,-6.1,Y
2014-01-25,-6.5,Y
2014-01-26,-5.3,Y
2014-01-27,-4.2,Y
2014-01-28,-2.2,Y
2014-01-29,-4.7,Y
2014-01-30,-5.2,Y
2014-01-31,-5.0,Y
2014-02-01,-0.8,Y
2014-02-02,1.3,Y
2014-02-03,0.3,Y
2014-02-04,-0.5,Y
2014-02-05,-1.2,Y
2014-02-06,0.4,Y
2014-02-07,2.0,Y
2014-02-08,2.5,Y
2014-02-09,1.6,Y
2014-02-10,1.9,Y
2014-02-11,0.9,Y
2014-02-12,0.9,Y
2014-02-13,1.3,Y
2014-02-14,1.4,Y
2014-02-15,2.2,Y
2014-02-16,2.4,Y
2014-02-17,2.7,Y
2014-02-18,1.9,Y
2014-02-19,3.4,Y
2014-02-20,1.5,Y
2014-02-21,3.7,Y
2014-02-22,3.0,Y
2014-02-23,4.7,Y
2014-02-24,5.0,Y
2014-02-25,2.4,Y
2014-02-26,2.9,Y
2014-02-27,1.7,Y
2014-02-28,2.3,Y
2014-03-01,1.8,Y
2014-03-02,0.9,Y
2014-03-03,1.9,Y
2014-03-04,4.0,Y
2014-03-05,2.2,Y
2014-03-06,2.6,Y
2014-03-07,6.0,Y
2014-03-08,4.0,Y
2014-03-09,7.3,Y
2014-03-10,5.1,Y
2014-03-11,1.3,Y
2014-03-12,5.1,Y
2014-03-13,5.5,Y
2014-03-14,3.3,Y
2014-03-15,3.5,Y
2014-03-16,2.9,Y
2014-03-17,4.7,Y
2014-03-18,4.4,Y
2014-03-19,5.1,Y
2014-03-20,8.6,Y
2014-03-21,6.8,Y
2014-03-22,4.6,Y
2014-03-23,4.3,Y
2014-03-24,3.0,Y
2014-03-25,1.2,Y
2014-03-26,2.5,Y
2014-03-27,3.1,Y
2014-03-28,3.7,Y
2014-03-29,2.1,Y
2014-03-30,4.3,Y
2014-03-31,1.5,Y
2014-04-01,0.1,Y
2014-04-02,1.5,Y
2014-04-03,0.7,Y
2014-04-04,0.1,Y
2014-04-05,3.5,Y
2014-04-06,8.1,Y
2014-04-07,9.7,Y
2014-04-08,8.6,Y
2014-04-09,4.1,Y
2014-04-10,3.9,Y
2014-04-11,6.4,Y
2014-04-12,5.6,Y
2014-04-13,6.1,Y
2014-04-14,7.3,Y
2014-04-15,5.1,Y
2014-04-16,4.5,Y
2014-04-17,6.1,Y
2014-04-18,5.4,Y
2014-04-19,7.2,Y
2014-04-20,8.0,Y
2014-04-21,10.6,Y
2014-04-22,11.6,Y
2014-04-23,7.7,Y
2014-04-24,7.2,Y
2014-04-25,7.2,Y
2014-04-26,7.6,Y
2014-04-27,10.0,Y
2014-04-28,12.5,Y
