Datum,Nederbördsmängd,Kvalitet
2014-06-01,0.0,Y
2014-06-02,0.0,Y
2014-06-03,12.0,Y
2014-06-04,1.6,Y
2014-06-05,0.3,Y
2014-06-06,0.0,Y
2014-06-07,7.9,Y
2014-06-08,0.0,Y
2014-06-09,0.0,Y
2014-06-10,0.0,Y
2014-06-11,1.1,Y
2014-06-12,2.6,Y
2014-06-13,5.1,Y
2014-06-14,0.0,Y
2014-06-15,1.8,Y
2014-06-16,2.0,Y
2014-06-17,0.0,Y
2014-06-18,0.5,Y
2014-06-19,3.0,Y
2014-06-20,0.0,Y
2014-06-21,0.0,Y
2014-06-22,2.2,Y
2014-06-23,0.4,Y
2014-06-24,0.0,Y
2014-06-25,1.6,Y
2014-06-26,0.0,Y
2014-06-27,3.5,Y
2014-06-28,2.1,Y
2014-06-29,3.3,Y
2014-06-30,3.0,Y
2014-07-01,3.6,Y
2014-07-02,1.5,Y
2014-07-03,1.0,Y
2014-07-04,0.0,Y
2014-07-05,0.0,Y
2014-07-06,0.0,Y
2014-07-07,0.0,Y
2014-07-08,0.0,Y
2014-07-09,0.0,Y
2014-07-10,0.0,Y
2014-07-11,0.0,Y
2014-07-12,0.0,Y
2014-07-13,0.0,Y
2014-07-14,0.4,Y
2014-07-15,2.8,Y
2014-07-16,0.0,Y
2014-07-17,0.0,Y
2014-07-18,0.0,Y
2014-07-19,7.5,Y
2014-07-20,0.0,Y
2014-07-21,0.0,Y
2014-07-22,0.0,Y
2014-07-23,0.0,Y
2014-07-24,0.0,Y
2014-07-25,0.0,Y
2014-07-26,0.4,Y
2014-07-27,0.0,Y
2014-07-28,7.7,Y
2014-07-29,0.0,Y
2014-07-30,0.2,Y
2014-07-31,0.0,Y
2014-08-01,0.0,Y
2014-08-02,2.6,Y
2014-08-03,0.0,Y
2014-08-04,0.0,Y
2014-08-05,1.3,Y
2014-08-06,1.1,Y
2014-08-07,0.0,Y
2014-08-08,0.0,Y
2014-08-09,5.6,Y
2014-08-10,3.4,Y
2014-08-11,9.1,Y
2014-08-12,2.5,Y
2014-08-13,1.9,Y
2014-08-14,0.1,Y
2014-08-15,3.3,Y
2014-08-16,7.6,Y
2014-08-17,3.8,Y
2014-08-18,1.3,Y
2014-08-19,2.8,Y
2014-08-20,3.9,Y
2014-08-21,10.6,Y
2014-08-22,1.0,Y
2014-08-23,5.6,Y
2014-08-24,3.2,Y
2014-08-25,3.6,Y
2014-08-26,1.2,Y
2014-08-27,0.0,Y
2014-08-28,0.0,Y
2014-08-29,0.0,Y
2014-08-30,0.0,Y
2014-08-31,0.0,Y
2014-09-01,0.0,Y
2014-09-02,0.0,Y
2014-09-03,0.0,Y
2014-09-04,0.0,Y
2014-09-05,0.0,Y
2014-09-06,0.0,Y
2014-09-07,0.0,Y
2014-09-08,6.0,Y
2014-09-09,3.2,Y
2014-09-10,0.2,Y
2014-09-11,0.0,Y
2014-09-12,0.0,Y
2014-09-13,0.0,Y
2014-09-14,0.0,Y
2014-09-15,0.0,Y
2014-09-16,0.0,Y
2014-09-17,0.0,Y
2014-09-18,0.0,Y
2014-09-19,0.0,Y
2014-09-20,0.0,Y
2014-09-21,17.8,Y
2014-09-22,10.2,Y
2014-09-23,2.7,Y
2014-09-24,12.0,Y
2014-09-25,0.4,Y
2014-09-26,0.0,Y
2014-09-27,0.0,Y
2014-09-28,0.0,Y
2014-09-29,0.0,Y
2014-09-30,0.0,Y
2014-10-01,0.0,Y
2014-10-02,0.0,Y
2014-10-03,0.6,Y
2014-10-04,0.0,Y
2014-10-05,0.5,Y
2014-10-06,3.1,Y
2014-10-07,20.7,Y
2014-10-08,1.7,Y
2014-10-09,2.5,Y
2014-10-10,3.3,Y
2014-10-11,0.0,Y
2014-10-12,17.4,Y
2014-10-13,0.2,Y
2014-10-14,0.0,Y
2014-10-15,0.0,Y
2014-10-16,0.0,Y
2014-10-17,0.0,Y
2014-10-18,8.5,Y
2014-10-19,0.6,Y
2014-10-20,28.8,Y
2014-10-21,5.9,Y
2014-10-22,1.0,Y
2014-10-23,0.0,Y
2014-10-24,3.0,Y
2014-10-25,1.5,Y
2014-10-26,0.0,Y
2014-10-27,3.3,Y
2014-10-28,0.0,Y
2014-10-29,0.0,Y
2014-10-30,0.0,Y
2014-10-31,3.2,Y
