Datum,Tid (UTC),Snödjup,Kvalitet
2014-01-31,06:00:00,0.16,G
2014-03-17,06:00:00,0.0,G
2014-06-24,06:00:00,0.0,G
2014-08-14,06:00:00,0.0,G
2014-09-29,06:00:00,0.0,G
2014-09-30,06:00:00,0.0,G
2014-11-18,06:00:00,0.0,G
2014-12-15,06:00:00,0.0,G
2015-01-15,06:00:00,0.05,G
2015-02-15,06:00:00,0.18,G
2015-04-14,06:00:00,0.0,G
2015-06-15,06:00:00,0.0,G
2015-08-31,06:00:00,0.0,G
2015-09-21,06:00:00,0.0,G
2015-11-12,06:00:00,0.0,G
2015-12-15,06:00:00,0.0,G
2015-12-28,06:00:00,0.05,G
2016-01-15,06:00:00,0.15,G
2016-02-12,06:00:00,0.0,G
2016-02-15,06:00:00,0.0,G
2016-03-15,06:00:00,0.0,G
2016-03-31,06:00:00,0.0,G
2016-04-06,06:00:00,0.0,G
2016-04-11,06:00:00,0.0,G
2016-04-12,06:00:00,0.0,G
2016-04-13,06:00:00,0.0,G
2016-04-14,06:00:00,0.0,G
2016-04-15,06:00:00,0.0,G
2016-04-18,06:00:00,0.0,G
2016-04-19,06:00:00,0.0,G
2016-04-20,06:00:00,0.0,G
2016-04-21,06:00:00,0.0,G
2016-05-02,06:00:00,0.0,G
2016-07-15,06:00:00,0.0,G
2016-07-29,06:00:00,0.0,G
2016-09-15,06:00:00,0.0,G
2016-10-17,06:00:00,0.0,G
2016-11-15,06:00:00,0.0,G
2016-12-12,06:00:00,0.05,G
2017-01-31,06:00:00,0.0,G
2017-02-15,06:00:00,0.06,G
2017-02-21,06:00:00,0.1,G
2017-02-28,06:00:00,0.04,G
2017-03-01,06:00:00,0.0,G
2017-03-15,06:00:00,0.0,G
2017-04-03,06:00:00,0.0,G
2017-05-23,06:00:00,0.0,G
2017-10-15,06:00:00,0.0,G
2017-12-15,06:00:00,0.02,G
2018-01-31,06:00:00,0.01,G
2018-02-15,06:00:00,0.02,G
2018-03-15,06:00:00,0.02,G
2018-12-17,06:00:00,0.03,G
2019-01-02,06:00:00,0.0,G
2019-01-15,06:00:00,0.02,G
2019-01-31,06:00:00,0.14,G
2019-02-04,06:00:00,0.2,G
2019-03-15,06:00:00,0.0,G
2019-04-15,06:00:00,0.0,G
2019-11-15,06:00:00,0.0,G
2019-12-10,06:00:00,0.35,G
2020-05-11,06:00:00,0.0,G
2020-06-08,06:00:00,0.0,G
2020-06-09,06:00:00,0.0,G
2020-06-10,06:00:00,0.0,G
2020-06-11,06:00:00,0.0,G
2020-06-12,06:00:00,0.0,G
2020-06-15,06:00:00,0.0,G
2020-06-29,06:00:00,0.0,G
2020-07-01,06:00:00,0.0,G
2020-07-02,06:00:00,0.0,G
